HES de Suisse occidentale - HES-SO,"Delémont, JU, CH",47.36493,7.34453
Pädagogische Hochschule Zürich - PHZFH,"Zürich (Kreis 4) / Langstrasse, ZH, CH",47.37767,8.52854
Università della Svizzera italiana - USI,"Lugano, TI, CH",46.01008,8.96004
Pädagogische Hochschule Graubünden - PHGR,"Masans, GR, CH",46.86979,9.53416
Schweizer Paraplegiker Forschung - SPF,"Nottwil, LU, CH",47.13569,8.13712
Kantonsspital St. Gallen - KSPSG,"Sankt Fiden, SG, CH",47.43122,9.38833
Schweiz. Hochschule für Logopädie Rorschach - SHLR,"Rorschach, SG, CH",47.478,9.4903
Pädagogische Hochschule Nordwestschweiz - PHFHNW,"Olten, SO, CH",47.34999,7.90329
Allergie- und Asthmaforschung - SIAF,"Davos Platz, GR, CH",46.79608,9.81756
Université de Genève - GE,"Geneva, GE, CH",46.20222,6.14569
Pädagogische Hochschule Schwyz - PHSZ,"Goldau, SZ, CH",47.04761,8.54616
Universität Luzern - LU,"Lucerne, LU, CH",47.05048,8.30635
Universität Basel - BS,"Grossbasel, BS, CH",47.55602,7.58906
Pädag. Hochschule Tessin (Teilschule SUPSI) - ASP,"Bosciorina, TI, CH",46.02621,8.91626
Firmen/Privatwirtschaft - FP,"Sarnen, OW, CH",46.89611,8.24531
Université de Lausanne - LA,"Chavannes, VD, CH",46.53005,6.57068
Hochschule Luzern - HSLU,"Lucerne, LU, CH",47.05048,8.30635
Zürcher Fachhochschule (ohne PH) - ZFH,"Zürich (Kreis 4) / Langstrasse, ZH, CH",47.37767,8.52854
Schweiz. Institut für Kunstwissenschaft - SIK-ISEA,"Zürich (Kreis 8) / Mühlebach, ZH, CH",47.35727,8.55744
Haute école pédagogique fribourgeoise - HEPFR,"Fribourg, FR, CH",46.80237,7.15128
SUP della Svizzera italiana - SUPSI,"Bosciorina, TI, CH",46.02621,8.91626
Forschungskommission SAGW,None,,
Forschungsinstitut für biologischen Landbau - FIBL,"Frick, AG, CH",47.51169,8.02471
Idiap Research Institute - IDIAP,"Martigny-Ville, VS, CH",46.10276,7.07245
Physikal.-Meteorolog. Observatorium Davos - PMOD,"Bünda, GR, CH",46.81095,9.84446
Eidg. Material und Prüfungsanstalt - EMPA,"Dübendorf / EMPA-EAWAG, ZH, CH",47.40311,8.61246
Weitere Spitäler - ASPIT,"Høje Tåstrup, 17, DK",55.64709,12.27416
Berner Fachhochschule - BFH,"Burgdorf, BE, CH",47.05901,7.62786
Staatsunabh. Theologische Hochschule Basel - STHB,"Grossbasel, BS, CH",47.55602,7.58906
Inst. de Hautes Etudes Internat. et du Dév - IHEID,"Sécheron, GE, CH",46.22086,6.1483
AO Research Institute - AORI,"Clavadel, GR, CH",46.76877,9.81519
ETH Zürich - ETHZ,"Zürich (Kreis 1) / Rathaus, ZH, CH",47.37161,8.54501
Fachhochschule Kalaidos - FHKD,"Zürich (Kreis 11) / Seebach, ZH, CH",47.42181,8.54779
Swiss Institute of Bioinformatics - SIB,"Sarnen, OW, CH",46.89611,8.24531
Inst. Suisse de Spéléologie et Karstologie - ISSKA,"La Chaux-de-Fonds, NE, CH",47.09993,6.82586
Pädagogische Hochschule Thurgau - PHTG,"Kreuzlingen, TG, CH",47.65051,9.17504
Inst. universit. romand de Santé au Travail - IST,"Vennes, VD, CH",46.53985,6.65376
Fachhochschule Nordwestschweiz (ohne PH) - FHNW,"Olten, SO, CH",47.34999,7.90329
Universität Zürich - ZH,"Zürich (Kreis 1) / Rathaus, ZH, CH",47.37161,8.54501
Pädagogische Hochschule Schaffhausen - PHSH,"Buchthalen, SH, CH",47.69736,8.64992
Université de Neuchâtel - NE,"Neuchâtel, NE, CH",46.99179,6.931
"Haute école pédagogique BE, JU, NE - HEPBEJUNE","Delémont, JU, CH",47.36493,7.34453
Institut für Kulturforschung Graubünden - IKG,"Chur, GR, CH",46.84986,9.53287
Pädagogische Hochschule St. Gallen - PHSG,"Sankt Fiden, SG, CH",47.43122,9.38833
Biotechnologie Institut Thurgau - BITG,"Emmishofen, TG, CH",47.64978,9.16247
Eidg. Hochschulinstitut für Berufsbildung - EHB,"Zollikofen, BE, CH",46.99905,7.45809
Weitere Institute - FINST,None,,
Ente Ospedaliero Cantonale - EOC,"Daro, TI, CH",46.19525,9.03097
Interkant. Hochschule für Heilpädagogik ZH - HfH,"Zürich (Kreis 11) / Oerlikon, ZH, CH",47.40823,8.54258
Fachhochschule Ostschweiz - FHO,"St. Gallen, SG, CH",47.42391,9.37477
Robert Walser-Stiftung Bern - RWS,"Bern, BE, CH",46.94809,7.44744
Swiss Center for Electronics and Microtech. - CSEM,"Monruz, NE, CH",47.00498,6.95982
Université de Fribourg - FR,"Fribourg, FR, CH",46.80237,7.15128
EPF Lausanne - EPFL,"Saint-Sulpice, VD, CH",46.51047,6.55897
Eidg. Anstalt für Wasserversorgung - EAWAG,"Kastanienbaum, LU, CH",47.00822,8.34001
Haute école pédagogique du canton de Vaud - HEPL,"Ouchy, VD, CH",46.50666,6.62493
Schweizer Kompetenzzentrum Sozialwissensch. - FORS,"Obsee, OW, CH",46.78392,8.15487
Franklin University Switzerland - FUS,"Sorengo, TI, CH",45.99766,8.93783
Universität St. Gallen - SG,"St. Gallen, SG, CH",47.42391,9.37477
Centre de rech. sur l'environnement alpin - CREALP,"Sion, VS, CH",46.22739,7.35559
Fernfachhochschule Schweiz (Mitglied SUPSI) - FFHS,"Croatan Shores, NC, US",36.02656,-75.66434
Forschungsinstitut für Opthalmologie - IRO,"Tübingen, 01, DE",48.52266,9.05222
Istituto Svizzero di Roma - ISR,"Colonna, 07, IT",41.90803,12.48854
Pädagogische Hochschule Bern - PHBern,"Bern / Engehalde, BE, CH",46.9601,7.43843
Pädagogische Hochschule Luzern - PHLU,"Lucerne, LU, CH",47.05048,8.30635
Universität Bern - BE,"Bern, BE, CH",46.94809,7.44744
Pädagogische Hochschule Wallis - PHVS,"Saint-Maurice, VS, CH",46.21826,7.0032
Pädagogische Hochschule Zug - PHZG,"Zug, ZG, CH",47.17242,8.51745
Institut Universitaire Kurt Bösch - IUKB,"Bramois, VS, CH",46.23244,7.40067
Forschungsanstalten Agroscope - AGS,"Wädenswil / Leihof-Mühlebach, ZH, CH",47.22364,8.67149
Instituto Ricerche Solari Locarno - IRSOL,"Monti della Trinità, TI, CH",46.17376,8.78317
"NPO (Biblioth., Museen, Verwalt.) - NPO","Zug, ZG, CH",47.17242,8.51745
Friedrich Miescher Institute - FMI,"Klein-Basel, BS, CH",47.56408,7.5949
Facoltà di Teologia di Lugano - FTL,"Lugano, TI, CH",46.01008,8.96004
Paul Scherrer Institut - PSI,"Beznau, AG, CH",47.55324,8.2291
"Eidg. Forschungsanstalt für Wald,Schnee,Land - WSL","Stans, NW, CH",46.95805,8.36609
